epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,225.749,1.05339,2.01973,1.37712,0.69451,0.65,0.76776,0.5208,1.6733,1.43583,1.38126,2.82082e-05,2.82082e-05,2.82082e-05
40,230.799,0.69034,1.43761,1.20993,0.69451,0.65,0.76776,0.5208,1.6733,1.43583,1.38126,2.84911e-05,2.84911e-05,2.84911e-05
41,235.74,1.02501,2.03905,1.42205,0.72364,0.68115,0.76817,0.5041,1.70768,1.54444,1.3922,2.87504e-05,2.87504e-05,2.87504e-05
42,242.392,1.03316,1.75918,1.47892,0.72364,0.68115,0.76817,0.5041,1.70768,1.54444,1.3922,2.89861e-05,2.89861e-05,2.89861e-05
43,247.382,0.7792,1.3423,1.15796,0.563,0.53172,0.68303,0.43097,1.71844,1.59577,1.40641,2.91983e-05,2.91983e-05,2.91983e-05
44,252.724,0.76069,1.10022,1.14852,0.563,0.53172,0.68303,0.43097,1.71844,1.59577,1.40641,2.93869e-05,2.93869e-05,2.93869e-05
45,259.015,0.72901,1.50681,1.15324,0.78441,0.48333,0.57404,0.31855,1.7284,1.65321,1.40925,2.9552e-05,2.9552e-05,2.9552e-05
46,263.92,0.79894,1.11236,1.24375,0.78441,0.48333,0.57404,0.31855,1.7284,1.65321,1.40925,2.96935e-05,2.96935e-05,2.96935e-05
47,269.815,1.02003,1.5042,1.49716,0.79254,0.48333,0.55994,0.30447,1.74931,1.71888,1.42671,2.98114e-05,2.98114e-05,2.98114e-05
48,275.374,0.88968,0.85169,1.17356,0.79254,0.48333,0.55994,0.30447,1.74931,1.71888,1.42671,2.99058e-05,2.99058e-05,2.99058e-05
49,280.364,0.77284,1.70776,1.16458,0.78347,0.48333,0.5414,0.29055,1.76491,1.77086,1.44181,2.99766e-05,2.99766e-05,2.99766e-05
50,287.614,0.60637,0.7762,1.08327,0.78347,0.48333,0.5414,0.29055,1.76491,1.77086,1.44181,3.00238e-05,3.00238e-05,3.00238e-05
51,292.84,0.50818,0.69547,1.0132,0.83063,0.48333,0.52262,0.27603,1.74227,1.79633,1.4317,3.00475e-05,3.00475e-05,3.00475e-05
52,297.763,0.88414,1.47941,1.18219,0.83063,0.48333,0.52262,0.27603,1.74227,1.79633,1.4317,3.00476e-05,3.00476e-05,3.00476e-05
53,304.536,0.76576,1.12129,1.19637,0.83063,0.48333,0.52262,0.27603,1.74227,1.79633,1.4317,3.00242e-05,3.00242e-05,3.00242e-05
54,309.62,0.90913,0.94893,1.36143,0.84134,0.48333,0.51446,0.27008,1.71579,1.81188,1.42384,2.99772e-05,2.99772e-05,2.99772e-05
55,315.202,0.79247,1.12137,1.19112,0.84134,0.48333,0.51446,0.27008,1.71579,1.81188,1.42384,2.99066e-05,2.99066e-05,2.99066e-05
56,321.404,0.75716,0.89674,1.16184,0.84134,0.48333,0.51446,0.27008,1.71579,1.81188,1.42384,2.98125e-05,2.98125e-05,2.98125e-05
57,326.49,0.7869,1.22439,1.1679,0.80027,0.48333,0.51358,0.2731,1.71016,1.84991,1.41723,2.96948e-05,2.96948e-05,2.96948e-05
58,333.084,0.66284,0.76136,0.99776,0.80027,0.48333,0.51358,0.2731,1.71016,1.84991,1.41723,2.95535e-05,2.95535e-05,2.95535e-05
59,338.984,0.83609,0.89496,1.20878,0.80027,0.48333,0.51358,0.2731,1.71016,1.84991,1.41723,2.93887e-05,2.93887e-05,2.93887e-05
60,344.127,0.76786,1.22047,1.23917,0.81303,0.48333,0.51559,0.25737,1.71753,1.88637,1.42384,2.92003e-05,2.92003e-05,2.92003e-05
61,350.898,0.72084,0.87512,1.20094,0.81303,0.48333,0.51559,0.25737,1.71753,1.88637,1.42384,2.89884e-05,2.89884e-05,2.89884e-05
62,356.046,0.68779,0.67756,1.14227,0.81303,0.48333,0.51559,0.25737,1.71753,1.88637,1.42384,2.87529e-05,2.87529e-05,2.87529e-05
63,362.989,0.78117,0.91585,1.2967,0.83095,0.48333,0.51787,0.25537,1.73622,1.96325,1.43748,2.84938e-05,2.84938e-05,2.84938e-05
64,371.162,0.80125,0.80906,1.1962,0.83095,0.48333,0.51787,0.25537,1.73622,1.96325,1.43748,2.82112e-05,2.82112e-05,2.82112e-05
65,376.162,0.73968,0.97323,1.13597,0.83095,0.48333,0.51787,0.25537,1.73622,1.96325,1.43748,2.7905e-05,2.7905e-05,2.7905e-05
66,382.005,0.69231,0.74939,1.181,0.81259,0.48333,0.51573,0.25767,1.74626,2.00454,1.44118,2.75753e-05,2.75753e-05,2.75753e-05
67,387.909,0.8516,1.6331,1.26517,0.81259,0.48333,0.51573,0.25767,1.74626,2.00454,1.44118,2.7222e-05,2.7222e-05,2.7222e-05
68,392.946,1.03143,0.94977,1.40277,0.81259,0.48333,0.51573,0.25767,1.74626,2.00454,1.44118,2.68451e-05,2.68451e-05,2.68451e-05
69,399.513,0.62944,0.84127,1.07798,0.78929,0.48333,0.51701,0.25457,1.75491,2.07379,1.44565,2.64447e-05,2.64447e-05,2.64447e-05
70,404.587,0.73201,0.89628,1.21906,0.78929,0.48333,0.51701,0.25457,1.75491,2.07379,1.44565,2.60207e-05,2.60207e-05,2.60207e-05
71,409.427,0.90744,1.18478,1.32108,0.78929,0.48333,0.51701,0.25457,1.75491,2.07379,1.44565,2.55731e-05,2.55731e-05,2.55731e-05
72,416.017,0.78474,0.60098,1.15243,0.79197,0.48345,0.51633,0.25757,1.74646,2.11829,1.44716,2.5102e-05,2.5102e-05,2.5102e-05
73,420.774,0.57376,0.87116,1.13803,0.79197,0.48345,0.51633,0.25757,1.74646,2.11829,1.44716,2.46073e-05,2.46073e-05,2.46073e-05
74,425.938,0.74239,0.70287,1.05186,0.79197,0.48345,0.51633,0.25757,1.74646,2.11829,1.44716,2.40891e-05,2.40891e-05,2.40891e-05
75,432.329,0.81802,0.82036,1.21701,0.78793,0.48727,0.51533,0.25545,1.76393,2.20602,1.477,2.35472e-05,2.35472e-05,2.35472e-05
76,437.584,0.61807,0.68915,1.0611,0.78793,0.48727,0.51533,0.25545,1.76393,2.20602,1.477,2.29819e-05,2.29819e-05,2.29819e-05
77,443.226,0.77669,1.02497,1.15262,0.78793,0.48727,0.51533,0.25545,1.76393,2.20602,1.477,2.23929e-05,2.23929e-05,2.23929e-05
78,448.943,0.76629,1.09148,1.1562,0.77804,0.49143,0.51603,0.25629,1.72902,2.17896,1.45051,2.17805e-05,2.17805e-05,2.17805e-05
79,453.812,1.16952,1.70362,1.54832,0.77804,0.49143,0.51603,0.25629,1.72902,2.17896,1.45051,2.11444e-05,2.11444e-05,2.11444e-05
80,459.994,0.83709,0.67776,1.12201,0.77804,0.49143,0.51603,0.25629,1.72902,2.17896,1.45051,2.04848e-05,2.04848e-05,2.04848e-05
81,465.171,1.10151,0.95382,1.58967,0.7853,0.49168,0.514,0.32761,1.78671,2.23902,1.48226,1.98016e-05,1.98016e-05,1.98016e-05
82,469.933,0.67044,0.76045,1.15102,0.7853,0.49168,0.514,0.32761,1.78671,2.23902,1.48226,1.90949e-05,1.90949e-05,1.90949e-05
83,476.553,0.75377,0.68082,1.13979,0.7853,0.49168,0.514,0.32761,1.78671,2.23902,1.48226,1.83646e-05,1.83646e-05,1.83646e-05
84,481.832,0.70189,0.92527,1.1637,0.68431,0.39548,0.4452,0.30933,1.76586,2.18396,1.47029,1.76107e-05,1.76107e-05,1.76107e-05
85,486.806,0.56432,0.64507,1.06898,0.68431,0.39548,0.4452,0.30933,1.76586,2.18396,1.47029,1.68333e-05,1.68333e-05,1.68333e-05
86,493.191,0.69686,0.70974,1.07285,0.68431,0.39548,0.4452,0.30933,1.76586,2.18396,1.47029,1.60323e-05,1.60323e-05,1.60323e-05
87,497.971,0.8051,0.79226,1.19935,0.68431,0.39548,0.4452,0.30933,1.76586,2.18396,1.47029,1.52077e-05,1.52077e-05,1.52077e-05
88,503.349,0.42445,0.49687,1.00141,0.79225,0.50163,0.51284,0.32377,1.79405,2.22141,1.47799,1.43596e-05,1.43596e-05,1.43596e-05
89,509.409,0.85144,0.60386,1.16857,0.79225,0.50163,0.51284,0.32377,1.79405,2.22141,1.47799,1.34879e-05,1.34879e-05,1.34879e-05
90,514.191,0.99653,1.20303,1.41908,0.79225,0.50163,0.51284,0.32377,1.79405,2.22141,1.47799,1.25927e-05,1.25927e-05,1.25927e-05
91,519.879,0.54577,0.56661,0.89842,0.79225,0.50163,0.51284,0.32377,1.79405,2.22141,1.47799,1.16739e-05,1.16739e-05,1.16739e-05
92,525.445,0.50841,0.49429,0.9004,0.81409,0.5,0.51485,0.32752,1.76626,2.17541,1.47926,1.07315e-05,1.07315e-05,1.07315e-05
93,530.289,0.50565,0.49896,1.03817,0.81409,0.5,0.51485,0.32752,1.76626,2.17541,1.47926,9.76562e-06,9.76562e-06,9.76562e-06
94,536.47,0.79415,0.70164,1.21058,0.81409,0.5,0.51485,0.32752,1.76626,2.17541,1.47926,8.77613e-06,8.77613e-06,8.77613e-06
95,541.518,0.49903,0.56223,0.92101,0.81409,0.5,0.51485,0.32752,1.76626,2.17541,1.47926,7.76308e-06,7.76308e-06,7.76308e-06
96,546.346,0.56183,0.51066,0.98408,0.83877,0.48456,0.51365,0.32832,1.68481,2.09981,1.42674,6.72648e-06,6.72648e-06,6.72648e-06
97,552.944,0.51969,0.65403,0.894,0.83877,0.48456,0.51365,0.32832,1.68481,2.09981,1.42674,5.6663e-06,5.6663e-06,5.6663e-06
98,558.057,0.55138,0.59613,0.94085,0.83877,0.48456,0.51365,0.32832,1.68481,2.09981,1.42674,4.58257e-06,4.58257e-06,4.58257e-06
99,562.831,0.62649,0.52263,0.89701,0.83877,0.48456,0.51365,0.32832,1.68481,2.09981,1.42674,3.47528e-06,3.47528e-06,3.47528e-06
100,569.676,0.59159,0.56347,1.08455,0.87486,0.48503,0.54799,0.35129,1.71808,1.93693,1.39985,2.34442e-06,2.34442e-06,2.34442e-06
