epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3617,0.89687,3.77381,1.3734,0.33853,0.46648,0.38695,0.27066,0.96553,2.35027,1.60216,0.000138305,0.000138305,0.000138305
2,165.083,0.93398,2.75129,1.39002,0.60254,0.5728,0.62415,0.4318,1.01073,1.81292,1.60162,0.000263578,0.000263578,0.000263578
3,239.112,0.93735,2.23929,1.38611,0.6411,0.53638,0.62781,0.42027,1.06318,1.87388,1.6572,0.000375091,0.000375091,0.000375091
4,313.14,0.95678,2.03232,1.39131,0.6896,0.62502,0.71609,0.50079,0.964,1.54755,1.58713,0.000355076,0.000355076,0.000355076
5,386.406,0.91371,1.85356,1.36224,0.7247,0.64958,0.71641,0.51301,0.97799,1.42122,1.56528,0.000334434,0.000334434,0.000334434
6,458.032,0.86735,1.64575,1.31836,0.72238,0.723,0.77965,0.561,0.92971,1.23536,1.5235,0.000313792,0.000313792,0.000313792
7,531.106,0.84664,1.55115,1.29625,0.79878,0.74554,0.8349,0.60905,0.93601,1.11763,1.49659,0.000293151,0.000293151,0.000293151
8,605.164,0.81821,1.47732,1.28721,0.71336,0.72844,0.76059,0.54395,0.95212,1.22514,1.53795,0.000272509,0.000272509,0.000272509
9,676.359,0.80288,1.37502,1.27237,0.81385,0.77362,0.83957,0.62861,0.86589,1.09173,1.4335,0.000251868,0.000251868,0.000251868
10,748.226,0.78797,1.31528,1.25984,0.78837,0.80277,0.84283,0.63059,0.89169,1.00391,1.45171,0.000231226,0.000231226,0.000231226
11,820.044,0.69774,1.30799,1.27218,0.84642,0.76131,0.8565,0.67095,0.79906,0.95283,1.36942,0.000210585,0.000210585,0.000210585
12,888.993,0.6604,1.16337,1.24116,0.8521,0.79386,0.87492,0.68193,0.80464,0.92041,1.36841,0.000189943,0.000189943,0.000189943
13,959.835,0.63692,1.05975,1.21574,0.84684,0.80648,0.86963,0.67439,0.82488,0.89106,1.40008,0.000169302,0.000169302,0.000169302
14,1028.25,0.60003,0.9681,1.17558,0.87194,0.80773,0.87364,0.69492,0.76146,0.85823,1.31858,0.00014866,0.00014866,0.00014866
15,1096.26,0.59893,0.90431,1.17375,0.84671,0.84372,0.89809,0.70748,0.7673,0.7745,1.32554,0.000128019,0.000128019,0.000128019
16,1164.85,0.57026,0.84758,1.15917,0.87915,0.81937,0.88211,0.69448,0.768,0.80995,1.32689,0.000107378,0.000107378,0.000107378
17,1233.71,0.55742,0.80587,1.14114,0.87803,0.85296,0.89797,0.72075,0.73457,0.74449,1.293,8.6736e-05,8.6736e-05,8.6736e-05
18,1302.17,0.52624,0.75698,1.11447,0.86591,0.841,0.89609,0.72372,0.72389,0.73022,1.28408,6.60945e-05,6.60945e-05,6.60945e-05
19,1369.56,0.53069,0.71923,1.11523,0.90436,0.82099,0.90716,0.73759,0.71446,0.71238,1.27055,4.5453e-05,4.5453e-05,4.5453e-05
20,1436.6,0.50438,0.69959,1.0964,0.88818,0.83984,0.9089,0.74006,0.71792,0.70346,1.26971,2.48115e-05,2.48115e-05,2.48115e-05
